Date,UserID,JobID,Event
2022-01-10 10:11:32,802,39,summary
2022-01-10 10:13:26,802,39,detail_description
2022-01-10 10:21:00,1357,399,summary
2022-01-10 10:28:18,1277,382,summary
2022-01-10 10:29:20,1277,382,detail_description
2022-01-10 10:31:12,1277,382,view_employer_profile
2022-01-10 10:32:57,1277,382,view_similar_positions
2022-01-10 10:33:05,504,0,summary
2022-01-10 10:34:46,504,0,detail_description
2022-01-10 10:35:16,504,0,view_similar_positions
2022-01-10 10:37:18,168,373,summary
2022-01-10 10:38:35,168,373,detail_description
2022-01-10 10:39:57,168,373,view_similar_positions
2022-01-10 10:44:34,1668,591,summary
2022-01-10 10:47:04,1668,591,detail_description
2022-01-10 10:47:46,301,393,summary
2022-01-10 10:49:02,301,393,detail_description
2022-01-10 10:50:45,301,393,view_similar_positions
2022-01-10 11:07:50,888,34,summary
2022-01-10 11:09:35,888,34,detail_description
2022-01-10 11:10:29,888,34,view_similar_positions
2022-01-10 12:00:56,78,476,summary
2022-01-10 12:02:43,78,476,detail_description
2022-01-10 12:02:55,800,286,summary
2022-01-10 12:04:59,78,476,view_employer_profile
2022-01-10 12:05:50,800,286,detail_description
2022-01-10 12:07:59,800,286,view_employer_profile
2022-01-10 12:10:31,908,189,summary
2022-01-10 12:11:33,908,189,detail_description
2022-01-10 12:14:45,1711,472,summary
2022-01-10 12:17:38,1711,472,detail_description
2022-01-10 12:18:02,1711,472,view_employer_profile
2022-01-10 12:23:45,1328,62,summary
2022-01-10 12:24:23,1328,62,detail_description
2022-01-10 12:24:59,1328,62,view_employer_profile
2022-01-10 12:35:47,86,179,summary
2022-01-10 12:38:13,86,179,detail_description
2022-01-10 13:12:31,1778,438,summary
2022-01-10 13:14:55,1778,438,view_employer_profile
2022-01-10 13:37:59,121,305,summary
2022-01-10 13:40:15,121,305,detail_description
2022-01-10 13:40:45,121,305,view_employer_profile
2022-01-10 13:49:40,477,65,summary
2022-01-10 13:50:48,477,65,detail_description
2022-01-10 13:51:47,477,65,view_employer_profile
2022-01-10 13:55:17,394,595,summary
2022-01-10 13:57:13,394,595,detail_description
2022-01-10 13:57:49,394,595,view_similar_positions
2022-01-10 13:58:49,704,377,summary
2022-01-10 13:59:53,704,377,detail_description
2022-01-10 14:03:24,1702,480,summary
2022-01-10 14:03:56,1702,480,detail_description
2022-01-10 14:05:29,1702,480,view_employer_profile
2022-01-10 14:06:15,1702,480,view_similar_positions
2022-01-10 14:08:37,1556,485,summary
2022-01-10 14:08:52,1556,485,detail_description
2022-01-10 14:18:30,1791,138,summary
2022-01-10 14:18:38,1791,138,detail_description
2022-01-10 14:21:11,1791,138,view_similar_positions
2022-01-10 14:31:10,150,535,summary
2022-01-10 14:32:34,150,535,detail_description
2022-01-10 14:32:51,1424,133,summary
2022-01-10 14:35:10,1424,133,detail_description
2022-01-10 14:35:17,150,535,view_employer_profile
2022-01-10 14:35:47,150,535,view_similar_positions
2022-01-10 14:36:51,1424,133,view_similar_positions
2022-01-10 14:40:25,753,309,summary
2022-01-10 14:41:19,753,309,detail_description
2022-01-10 14:41:29,753,309,view_employer_profile
2022-01-10 14:43:42,737,272,summary
2022-01-10 14:44:16,737,272,detail_description
2022-01-10 14:46:16,737,272,view_employer_profile
2022-01-10 14:48:43,986,245,summary
2022-01-10 14:50:32,1137,30,summary
2022-01-10 14:51:30,986,245,detail_description
2022-01-10 14:52:35,1137,30,detail_description
2022-01-10 14:54:07,986,245,view_employer_profile
2022-01-10 14:54:38,1137,30,view_similar_positions
2022-01-10 16:11:18,1378,253,summary
2022-01-10 16:13:45,1378,253,detail_description
2022-01-10 16:14:57,1484,506,summary
2022-01-10 16:16:10,1484,506,detail_description
2022-01-10 16:16:22,867,355,summary
2022-01-10 16:16:57,1484,506,view_similar_positions
2022-01-10 16:18:28,867,355,detail_description
2022-01-10 16:19:09,867,355,view_similar_positions
2022-01-10 16:23:17,1546,484,summary
2022-01-10 16:26:07,1546,484,detail_description
2022-01-10 16:28:52,1546,484,view_employer_profile
2022-01-10 16:55:59,546,592,summary
2022-01-10 16:57:32,546,592,detail_description
2022-01-10 16:59:16,1627,356,summary
2022-01-10 16:59:35,758,282,summary
2022-01-10 17:00:43,1627,356,detail_description
2022-01-10 17:02:33,758,282,detail_description
2022-01-10 17:02:46,758,282,view_employer_profile
2022-01-10 17:04:12,345,314,summary
2022-01-10 17:05:25,345,314,detail_description
2022-01-10 17:05:30,345,314,view_similar_positions
2022-01-10 17:09:07,404,215,summary
2022-01-10 17:10:23,724,124,summary
2022-01-10 17:11:24,404,215,detail_description
2022-01-10 17:11:29,724,124,detail_description
2022-01-10 17:11:53,577,548,summary
2022-01-10 17:13:03,404,215,view_similar_positions
2022-01-10 17:13:16,724,124,view_similar_positions
2022-01-10 17:14:17,577,548,detail_description
2022-01-10 17:16:09,577,548,view_similar_positions
2022-01-10 17:17:25,1074,327,summary
2022-01-10 17:19:33,1074,327,detail_description
2022-01-10 17:34:05,455,199,summary
2022-01-10 17:36:26,455,199,detail_description
2022-01-10 17:37:15,1064,153,summary
2022-01-10 17:39:46,1064,153,view_similar_positions
2022-01-10 17:42:25,479,210,summary
2022-01-10 17:44:04,479,210,detail_description
2022-01-10 17:48:13,425,550,summary
2022-01-10 17:48:59,425,550,detail_description
2022-01-10 17:58:25,288,125,summary
2022-01-10 18:01:23,288,125,detail_description
2022-01-10 18:01:26,1083,131,summary
2022-01-10 18:08:00,999,577,summary
2022-01-10 18:10:47,999,577,detail_description
2022-01-10 18:11:20,999,577,view_employer_profile
2022-01-10 18:19:23,1213,350,summary
2022-01-10 18:19:50,1213,350,detail_description
2022-01-10 18:19:56,900,344,summary
2022-01-10 18:21:11,396,525,summary
2022-01-10 18:22:11,900,344,detail_description
2022-01-10 18:23:04,900,344,view_employer_profile
2022-01-10 18:23:07,396,525,detail_description
2022-01-10 18:25:30,900,344,view_similar_positions
2022-01-10 18:57:43,954,155,summary
2022-01-10 19:25:22,637,484,summary
2022-01-10 19:27:24,637,484,detail_description
2022-01-10 19:29:15,1171,15,summary
2022-01-10 19:30:09,1709,127,summary
2022-01-10 19:31:19,1709,127,detail_description
